,Disease,State,LGA,co_0to28d,co_1to11m,co_12to59m,ci_0to28d,ci_1to11m,ci_12to59m,dio_0to28d,dio_1to11m,dio_12to59m,Month,year,Case Observed total ,Case Investigated Total,Total Cases,Total deaths,Date,ID
0,Malnutrition,Abia,Aba North,0,2,0,0,0,4.0,0,0,0,Jan,2013,2,4.0,6.0,0,"Tuesday, January 1, 2013",NGAB
1,Malnutrition,Abia,Aba North,0,3,5,0,0,0.0,0,0,0,Feb,2013,8,0.0,8.0,0,"Friday, February 1, 2013",NGAB
2,Malnutrition,Abia,Aba North,0,0,0,0,0,0.0,0,0,0,Mar,2013,0,0.0,0.0,0,"Friday, March 1, 2013",NGAB
3,Malnutrition,Abia,Aba North,0,1,0,0,0,2.0,0,0,0,Apr,2013,1,2.0,3.0,0,"Monday, April 1, 2013",NGAB
4,Malnutrition,Abia,Aba North,0,0,0,0,1,0.0,0,1,0,May,2013,0,1.0,1.0,1,"Wednesday, May 1, 2013",NGAB
5,Malnutrition,Abia,Aba North,0,3,2,0,4,2.0,0,0,0,Jun,2013,5,6.0,11.0,0,"Saturday, June 1, 2013",NGAB
6,Malnutrition,Abia,Aba North,0,2,1,0,1,1.0,0,0,0,Jul,2013,3,2.0,5.0,0,"Monday, July 1, 2013",NGAB
7,Malnutrition,Abia,Aba North,0,1,1,0,0,0.0,0,0,0,Aug,2013,2,0.0,2.0,0,"Thursday, August 1, 2013",NGAB
8,Malnutrition,Abia,Aba North,0,0,2,0,0,3.0,0,0,0,Sep,2013,2,3.0,5.0,0,"Sunday, September 1, 2013",NGAB
9,Malnutrition,Abia,Aba North,0,0,0,0,0,0.0,0,0,0,Oct,2013,0,0.0,0.0,0,"Tuesday, October 1, 2013",NGAB
10,Malnutrition,Abia,Aba North,0,0,0,0,0,0.0,0,0,0,Nov,2013,0,0.0,0.0,0,"Friday, November 1, 2013",NGAB
11,Malnutrition,Abia,Aba North,0,2,3,0,3,1.0,0,0,0,Dec,2013,5,4.0,9.0,0,"Sunday, December 1, 2013",NGAB
12,Malnutrition,Abia,Aba South,0,0,0,0,0,0.0,0,0,0,Jan,2013,0,0.0,0.0,0,"Tuesday, January 1, 2013",NGAB
13,Malnutrition,Abia,Aba South,0,0,0,0,0,0.0,0,0,0,Feb,2013,0,0.0,0.0,0,"Friday, February 1, 2013",NGAB
14,Malnutrition,Abia,Aba South,0,0,0,0,0,0.0,0,0,0,Mar,2013,0,0.0,0.0,0,"Friday, March 1, 2013",NGAB
15,Malnutrition,Abia,Aba South,0,0,0,0,0,0.0,0,0,0,Apr,2013,0,0.0,0.0,0,"Monday, April 1, 2013",NGAB
16,Malnutrition,Abia,Aba South,0,0,0,0,0,0.0,0,0,0,May,2013,0,0.0,0.0,0,"Wednesday, May 1, 2013",NGAB
17,Malnutrition,Abia,Aba South,0,0,0,0,0,0.0,0,0,0,Jun,2013,0,0.0,0.0,0,"Saturday, June 1, 2013",NGAB
18,Malnutrition,Abia,Aba South,0,0,0,0,0,0.0,0,0,0,Jul,2013,0,0.0,0.0,0,"Monday, July 1, 2013",NGAB
19,Malnutrition,Abia,Aba South,0,0,0,0,0,0.0,0,0,0,Aug,2013,0,0.0,0.0,0,"Thursday, August 1, 2013",NGAB
20,Malnutrition,Abia,Aba South,0,0,0,0,0,0.0,0,0,0,Sep,2013,0,0.0,0.0,0,"Sunday, September 1, 2013",NGAB
21,Malnutrition,Abia,Aba South,0,0,0,0,0,0.0,0,0,0,Oct,2013,0,0.0,0.0,0,"Tuesday, October 1, 2013",NGAB
22,Malnutrition,Abia,Aba South,0,0,0,0,0,0.0,0,0,0,Nov,2013,0,0.0,0.0,0,"Friday, November 1, 2013",NGAB
23,Malnutrition,Abia,Aba South,0,0,0,0,0,0.0,0,0,0,Dec,2013,0,0.0,0.0,0,"Sunday, December 1, 2013",NGAB
24,Malnutrition,Abia,Arochukwu,0,0,0,0,0,0.0,0,0,0,Jan,2013,0,0.0,0.0,0,"Tuesday, January 1, 2013",NGAB
25,Malnutrition,Abia,Arochukwu,0,2,1,0,0,0.0,0,0,0,Feb,2013,3,0.0,3.0,0,"Friday, February 1, 2013",NGAB
26,Malnutrition,Abia,Arochukwu,0,1,2,0,0,0.0,0,0,0,Mar,2013,3,0.0,3.0,0,"Friday, March 1, 2013",NGAB
27,Malnutrition,Abia,Arochukwu,0,3,0,0,0,0.0,0,0,0,Apr,2013,3,0.0,3.0,0,"Monday, April 1, 2013",NGAB
28,Malnutrition,Abia,Arochukwu,0,0,2,0,0,0.0,0,0,0,May,2013,2,0.0,2.0,0,"Wednesday, May 1, 2013",NGAB
29,Malnutrition,Abia,Arochukwu,0,2,1,0,0,0.0,0,0,0,Jun,2013,3,0.0,3.0,0,"Saturday, June 1, 2013",NGAB
30,Malnutrition,Abia,Arochukwu,0,0,8,0,0,0.0,0,0,0,Jul,2013,8,0.0,8.0,0,"Monday, July 1, 2013",NGAB
31,Malnutrition,Abia,Arochukwu,0,2,3,0,0,0.0,0,0,0,Aug,2013,5,0.0,5.0,0,"Thursday, August 1, 2013",NGAB
32,Malnutrition,Abia,Arochukwu,0,0,3,0,0,0.0,0,0,0,Sep,2013,3,0.0,3.0,0,"Sunday, September 1, 2013",NGAB
33,Malnutrition,Abia,Arochukwu,0,0,0,0,0,0.0,0,0,0,Oct,2013,0,0.0,0.0,0,"Tuesday, October 1, 2013",NGAB
34,Malnutrition,Abia,Arochukwu,0,0,0,0,0,0.0,0,0,0,Nov,2013,0,0.0,0.0,0,"Friday, November 1, 2013",NGAB
35,Malnutrition,Abia,Arochukwu,0,0,0,0,0,0.0,0,0,0,Dec,2013,0,0.0,0.0,0,"Sunday, December 1, 2013",NGAB
36,Malnutrition,Abia,Bende,0,0,0,0,0,0.0,0,0,0,Jan,2013,0,0.0,0.0,0,"Tuesday, January 1, 2013",NGAB
37,Malnutrition,Abia,Bende,0,0,0,0,0,0.0,0,0,0,Feb,2013,0,0.0,0.0,0,"Friday, February 1, 2013",NGAB
38,Malnutrition,Abia,Bende,0,0,0,0,0,0.0,0,0,0,Mar,2013,0,0.0,0.0,0,"Friday, March 1, 2013",NGAB
39,Malnutrition,Abia,Bende,0,0,0,0,0,0.0,0,0,0,Apr,2013,0,0.0,0.0,0,"Monday, April 1, 2013",NGAB
40,Malnutrition,Abia,Bende,0,0,1,0,0,0.0,0,0,0,May,2013,1,0.0,1.0,0,"Wednesday, May 1, 2013",NGAB
41,Malnutrition,Abia,Bende,0,0,0,0,0,0.0,0,0,0,Jun,2013,0,0.0,0.0,0,"Saturday, June 1, 2013",NGAB
42,Malnutrition,Abia,Bende,0,0,0,0,0,0.0,0,0,0,Jul,2013,0,0.0,0.0,0,"Monday, July 1, 2013",NGAB
43,Malnutrition,Abia,Bende,0,1,0,0,0,0.0,0,0,0,Aug,2013,1,0.0,1.0,0,"Thursday, August 1, 2013",NGAB
44,Malnutrition,Abia,Bende,0,1,1,0,0,0.0,0,0,0,Sep,2013,2,0.0,2.0,0,"Sunday, September 1, 2013",NGAB
45,Malnutrition,Abia,Bende,0,0,0,0,0,0.0,0,0,0,Oct,2013,0,0.0,0.0,0,"Tuesday, October 1, 2013",NGAB
46,Malnutrition,Abia,Bende,0,0,0,0,0,0.0,0,0,0,Nov,2013,0,0.0,0.0,0,"Friday, November 1, 2013",NGAB
47,Malnutrition,Abia,Bende,0,0,0,0,0,0.0,0,0,0,Dec,2013,0,0.0,0.0,0,"Sunday, December 1, 2013",NGAB
48,Malnutrition,Abia,Ikwuano,0,0,0,0,0,0.0,0,0,0,Jan,2013,0,0.0,0.0,0,"Tuesday, January 1, 2013",NGAB
49,Malnutrition,Abia,Ikwuano,0,1,0,0,0,0.0,0,0,0,Feb,2013,1,0.0,1.0,0,"Friday, February 1, 2013",NGAB
50,Malnutrition,Abia,Ikwuano,0,0,0,0,0,0.0,0,0,0,Mar,2013,0,0.0,0.0,0,"Friday, March 1, 2013",NGAB
51,Malnutrition,Abia,Ikwuano,0,1,0,0,0,0.0,0,0,0,Apr,2013,1,0.0,1.0,0,"Monday, April 1, 2013",NGAB
52,Malnutrition,Abia,Ikwuano,0,0,0,0,0,0.0,0,0,0,May,2013,0,0.0,0.0,0,"Wednesday, May 1, 2013",NGAB
53,Malnutrition,Abia,Ikwuano,0,0,0,0,0,0.0,0,0,0,Jun,2013,0,0.0,0.0,0,"Saturday, June 1, 2013",NGAB
54,Malnutrition,Abia,Ikwuano,0,0,0,0,0,0.0,0,0,0,Jul,2013,0,0.0,0.0,0,"Monday, July 1, 2013",NGAB
55,Malnutrition,Abia,Ikwuano,0,0,0,0,0,0.0,0,0,0,Aug,2013,0,0.0,0.0,0,"Thursday, August 1, 2013",NGAB
56,Malnutrition,Abia,Ikwuano,0,0,0,0,0,0.0,0,0,0,Sep,2013,0,0.0,0.0,0,"Sunday, September 1, 2013",NGAB
57,Malnutrition,Abia,Ikwuano,0,0,0,0,0,0.0,0,0,0,Oct,2013,0,0.0,0.0,0,"Tuesday, October 1, 2013",NGAB
58,Malnutrition,Abia,Ikwuano,0,0,0,0,0,0.0,0,0,0,Nov,2013,0,0.0,0.0,0,"Friday, November 1, 2013",NGAB
59,Malnutrition,Abia,Ikwuano,0,1,1,0,0,0.0,0,0,0,Dec,2013,2,0.0,2.0,0,"Sunday, December 1, 2013",NGAB
60,Malnutrition,Abia,Isiala-Ngwa North,0,0,0,0,0,0.0,0,0,0,Jan,2013,0,0.0,0.0,0,"Tuesday, January 1, 2013",NGAB
61,Malnutrition,Abia,Isiala-Ngwa North,0,0,1,0,0,0.0,0,0,0,Feb,2013,1,0.0,1.0,0,"Friday, February 1, 2013",NGAB
