Disease,State,LGA,co_0to28d,co_1to11m,co_12to59m,ci_0to28d,ci_1to11m,ci_12to59m,dio_0to28d,dio_1to11m,dio_12to59m,Month,year,Case Observed total ,Case Investigated Total,Total Cases,Total deaths,Date
Malnutrition,Abia,Aba North,0,2,0,0,0,4,0,0,0,Jan,2013,2,4,6,0,"Tuesday, January 1, 2013"
Malnutrition,Abia,Aba North,0,3,5,0,0,0,0,0,0,Feb,2013,8,0,8,0,"Friday, February 1, 2013"
Malnutrition,Abia,Aba North,0,0,0,0,0,0,0,0,0,Mar,2013,0,0,0,0,"Friday, March 1, 2013"
Malnutrition,Abia,Aba North,0,1,0,0,0,2,0,0,0,Apr,2013,1,2,3,0,"Monday, April 1, 2013"
Malnutrition,Abia,Aba North,0,0,0,0,1,0,0,1,0,May,2013,0,1,1,1,"Wednesday, May 1, 2013"
Malnutrition,Abia,Aba North,0,3,2,0,4,2,0,0,0,Jun,2013,5,6,11,0,"Saturday, June 1, 2013"
Malnutrition,Abia,Aba North,0,2,1,0,1,1,0,0,0,Jul,2013,3,2,5,0,"Monday, July 1, 2013"
Malnutrition,Abia,Aba North,0,1,1,0,0,0,0,0,0,Aug,2013,2,0,2,0,"Thursday, August 1, 2013"
Malnutrition,Abia,Aba North,0,0,2,0,0,3,0,0,0,Sep,2013,2,3,5,0,"Sunday, September 1, 2013"
Malnutrition,Abia,Aba North,0,0,0,0,0,0,0,0,0,Oct,2013,0,0,0,0,"Tuesday, October 1, 2013"
Malnutrition,Abia,Aba North,0,0,0,0,0,0,0,0,0,Nov,2013,0,0,0,0,"Friday, November 1, 2013"
Malnutrition,Abia,Aba North,0,2,3,0,3,1,0,0,0,Dec,2013,5,4,9,0,"Sunday, December 1, 2013"
Malnutrition,Abia,Aba South,0,0,0,0,0,0,0,0,0,Jan,2013,0,0,0,0,"Tuesday, January 1, 2013"
Malnutrition,Abia,Aba South,0,0,0,0,0,0,0,0,0,Feb,2013,0,0,0,0,"Friday, February 1, 2013"
Malnutrition,Abia,Aba South,0,0,0,0,0,0,0,0,0,Mar,2013,0,0,0,0,"Friday, March 1, 2013"
Malnutrition,Abia,Aba South,0,0,0,0,0,0,0,0,0,Apr,2013,0,0,0,0,"Monday, April 1, 2013"
Malnutrition,Abia,Aba South,0,0,0,0,0,0,0,0,0,May,2013,0,0,0,0,"Wednesday, May 1, 2013"
Malnutrition,Abia,Aba South,0,0,0,0,0,0,0,0,0,Jun,2013,0,0,0,0,"Saturday, June 1, 2013"
Malnutrition,Abia,Aba South,0,0,0,0,0,0,0,0,0,Jul,2013,0,0,0,0,"Monday, July 1, 2013"
Malnutrition,Abia,Aba South,0,0,0,0,0,0,0,0,0,Aug,2013,0,0,0,0,"Thursday, August 1, 2013"
Malnutrition,Abia,Aba South,0,0,0,0,0,0,0,0,0,Sep,2013,0,0,0,0,"Sunday, September 1, 2013"
Malnutrition,Abia,Aba South,0,0,0,0,0,0,0,0,0,Oct,2013,0,0,0,0,"Tuesday, October 1, 2013"
Malnutrition,Abia,Aba South,0,0,0,0,0,0,0,0,0,Nov,2013,0,0,0,0,"Friday, November 1, 2013"
